Team 1,Team 2,Team 1 Points,Team 2 Points,Team 1 Location,Team 2 Location,Team 1 Win,Team 2 Win,
Boston,Philadelphia,126,117,1,0,1,0,
Boston,Miami,111,104,0,1,1,0,
Boston,Orlando,126,120,0,1,1,0,
Boston,Chicago,102,120,0,1,0,1,
Boston,Cleveland,123,132,1,0,0,1,
Boston,Washington,112,94,1,0,1,0,
Boston,Cleveland,113,114,0,1,0,1,
Boston,Chicago,123,119,1,0,1,0,
Boston,New York,133,118,0,1,1,0,
Boston,Memphis,109,106,0,1,1,0,
Boston,Detroit,128,112,1,0,1,0,
Boston,Denver,131,112,1,0,1,0,
Boston,Detroit,117,108,0,1,1,0,
Boston,Okla City,126,122,1,0,1,0,
Boston,Atlanta,126,101,0,1,1,0,
Boston,New Orleans,117,109,0,1,1,0,
Boston,Chicago,107,121,0,1,0,1,
Boston,Dallas,125,112,1,0,1,0,
Boston,Sacramento,122,104,1,0,1,0,
Boston,Washington,130,121,1,0,1,0,
Boston,Charlotte,140,105,1,0,1,0,
Boston,Miami,134,121,1,0,1,0,
Boston,Miami,116,120,1,0,0,1,
Boston,Brooklyn,103,92,0,1,1,0,
Boston,Toronto,116,110,0,1,1,0,
Boston,Phoenix,125,98,0,1,1,0,
Boston,Golden State,107,123,0,1,0,1,
Boston,LA Clippers,93,113,0,1,0,1,
Boston,LA Lakers,122,118,0,1,1,0,
Boston,Orlando,109,117,1,0,0,1,
Boston,Orlando,92,95,1,0,0,1,
Boston,Indiana,112,117,1,0,0,1,
Boston,Minnesota,121,109,1,0,1,0,
Boston,Milwaukee,139,118,1,0,1,0,
Boston,Houston,126,102,1,0,1,0,
Boston,LA Clippers,116,110,1,0,1,0,
Boston,Denver,111,123,0,1,0,1,
Boston,Okla City,117,150,0,1,0,1,
Boston,Dallas,124,95,0,1,1,0,
Boston,San Antonio,121,116,0,1,1,0,
Boston,Chicago,107,99,1,0,1,0,
Boston,New Orleans,125,114,1,0,1,0,
Boston,Brooklyn,109,98,0,1,1,0,
Boston,Charlotte,122,106,0,1,1,0,
Boston,Charlotte,130,118,0,1,1,0,
Boston,Golden State,121,118,1,0,1,0,
Boston,Toronto,106,104,0,1,1,0,
Boston,Orlando,98,113,0,1,0,1,
Boston,Miami,95,98,0,1,0,1,
Boston,New York,117,120,1,0,0,1,
Boston,LA Lakers,125,121,1,0,1,0,
Boston,Brooklyn,139,96,1,0,1,0,
Boston,Phoenix,94,106,1,0,0,1,
Boston,Detroit,111,99,0,1,1,0,
Boston,Philadelphia,106,99,1,0,1,0,
Boston,Charlotte,127,116,1,0,1,0,
Boston,Memphis,119,109,1,0,1,0,
Boston,Milwaukee,125,131,0,1,0,1,
Boston,Detroit,127,109,1,0,1,0,
Boston,Indiana,142,138,0,1,1,0,
Boston,Philadelphia,110,107,0,1,1,0,
Boston,New York,94,109,0,1,0,1,
Boston,Cleveland,117,113,1,0,1,0,
Boston,Brooklyn,105,115,1,0,0,1,
Boston,New York,129,131,1,0,0,1,
Boston,Cleveland,114,118,0,1,0,1,
Boston,Portland,115,93,1,0,1,0,
Boston,Atlanta,134,125,0,1,1,0,
Boston,Houston,109,111,0,1,0,1,
Boston,Minnesota,104,102,0,1,1,0,
Boston,Portland,126,112,0,1,1,0,
Boston,Utah,117,118,0,1,0,1,
Boston,Sacramento,132,109,0,1,1,0,
Boston,Indiana,120,95,1,0,1,0,
